type_structure    instance_1      instance_2      instance_3
liste    0.000009      1.931739      8.363352      
table hachage (taille 15)    0.000005      0.234937      1.005584      
table hachage (taille 150)    0.000582      0.045052      0.139832      
table hachage (taille 1500)    0.000400      0.017249      0.038455      
table hachage (taille 3000)    0.000423      0.015842      0.031946      
table hachage (taille 4500)    0.000430      0.014671      0.029170      
table hachage (taille 6000)    0.000435      0.013964      0.027446      
table hachage (taille 15000)    0.000473      0.013234      0.024481      
table hachage (taille 100000)    0.001044      0.013381      0.022318      
arbre    0.000121      0.030287      0.058270      
